Well,Target,Treatment,Cq,AEV,History
C01,Cg_ATPsynthase(1385/6),control,26.69334202,2477.224597,naïve
C02,Cg_ATPsynthase(1385/6),control,27.67047987,1257.915484,naïve
C03,Cg_ATPsynthase(1385/6),heat,26.77350665,2343.25632,naïve
C04,Cg_ATPsynthase(1385/6),heat,27.39914814,1518.366384,naïve
C05,Cg_ATPsynthase(1385/6),heat::mech,27.20647488,1735.440651,naïve
C06,Cg_ATPsynthase(1385/6),heat::mech,27.22151467,1717.432913,naïve
C07,Cg_ATPsynthase(1385/6),mechanical,26.28449109,3289.359067,naïve
C08,Cg_ATPsynthase(1385/6),mechanical,27.04334896,1943.315404,naïve
C09,Cg_ATPsynthase(1385/6),control,28.87035435,547.330021,tumbled
C10,Cg_ATPsynthase(1385/6),control,28.22305009,857.4667984,tumbled
C11,Cg_ATPsynthase(1385/6),heat,28.71905584,607.8835359,tumbled
C12,Cg_ATPsynthase(1385/6),heat,27.78182039,1164.436201,tumbled
D01,Cg_ATPsynthase(1385/6),heat::mech,28.60907904,656.0627698,tumbled
D02,Cg_ATPsynthase(1385/6),heat::mech,27.70783545,1225.744526,tumbled
D03,Cg_ATPsynthase(1385/6),mechanical,27.14407522,1812.193397,tumbled
D04,Cg_ATPsynthase(1385/6),mechanical,25.65429601,5092.441419,tumbled
E01,Cg_citratesynthase(1383/4),control,26.14320567,3627.993098,naïve
E02,Cg_citratesynthase(1383/4),control,26.86000804,2206.813227,naïve
E03,Cg_citratesynthase(1383/4),heat,26.11234388,3706.483092,naïve
E04,Cg_citratesynthase(1383/4),heat,26.29140645,3273.620844,naïve
E05,Cg_citratesynthase(1383/4),heat::mech,25.57058363,5396.8483,naïve
E06,Cg_citratesynthase(1383/4),heat::mech,26.33735276,3170.949669,naïve
E07,Cg_citratesynthase(1383/4),mechanical,25.00223576,8004.359559,naïve
E08,Cg_citratesynthase(1383/4),mechanical,26.01670566,3960.666319,naïve
E09,Cg_citratesynthase(1383/4),control,27.25196143,1681.5478,tumbled
E10,Cg_citratesynthase(1383/4),control,26.58929204,2662.595769,tumbled
E11,Cg_citratesynthase(1383/4),heat,27.69267704,1238.698682,tumbled
E12,Cg_citratesynthase(1383/4),heat,27.22723434,1710.633674,tumbled
F01,Cg_citratesynthase(1383/4),heat::mech,27.30509117,1620.714582,tumbled
F02,Cg_citratesynthase(1383/4),heat::mech,26.861714,2204.203782,tumbled
F03,Cg_citratesynthase(1383/4),mechanical,26.15611026,3595.668038,tumbled
F04,Cg_citratesynthase(1383/4),mechanical,25.33233968,6366.47867,tumbled
G01,Cg_GAPDH(1172/3),control,23.93587224,16769.3134,naïve
G02,Cg_GAPDH(1172/3),control,24.68078722,10003.38282,naïve
G03,Cg_GAPDH(1172/3),heat,23.92692597,16873.68346,naïve
G04,Cg_GAPDH(1172/3),heat,25.0393189,7801.123393,naïve
G05,Cg_GAPDH(1172/3),heat::mech,24.11260134,14834.89499,naïve
G06,Cg_GAPDH(1172/3),heat::mech,24.13271204,14629.42085,naïve
G07,Cg_GAPDH(1172/3),mechanical,23.94555469,16657.08214,naïve
G08,Cg_GAPDH(1172/3),mechanical,24.21774817,13791.58725,naïve
G09,Cg_GAPDH(1172/3),control,26.20461133,3476.730819,tumbled
G10,Cg_GAPDH(1172/3),control,25.05324025,7726.166032,tumbled
G11,Cg_GAPDH(1172/3),heat,26.13272351,3654.463922,tumbled
G12,Cg_GAPDH(1172/3),heat,25.18171387,7067.531981,tumbled
H01,Cg_GAPDH(1172/3),heat::mech,25.90263548,4286.730623,tumbled
H02,Cg_GAPDH(1172/3),heat::mech,24.91913236,8479.247913,tumbled
H04,Cg_GAPDH(1172/3),mechanical,23.59229444,21281.43528,tumbled
E01,Cg_Def(1160/1),mechanical,38.84470048,0.541971208,tumbled
E02,Cg_Def(1160/1),control,37.34535333,1.533132101,naïve
E03,Cg_Def(1160/1),control,37.25942679,1.62727387,naïve
E04,Cg_Def(1160/1),heat,38.3555452,0.760868817,naïve
E05,Cg_Def(1160/1),heat,36.79746277,2.241837935,naïve
E06,Cg_Def(1160/1),heat::mech,38.70598096,0.596703431,naïve
E07,Cg_Def(1160/1),heat::mech,39.43836277,0.359058435,naïve
E08,Cg_Def(1160/1),mechanical,38.1752822,0.86219401,naïve
E09,Cg_Def(1160/1),mechanical,39.47330757,0.350461052,naïve
E10,Cg_Def(1160/1),control,39.07538325,0.461843212,tumbled
E12,Cg_Def(1160/1),control,34.11554573,14.40116499,tumbled
F04,Cg_Def(1160/1),heat,39.21650747,0.418781945,tumbled
G01,IL-17_internal(256/7),heat,29.76692564,293.9016317,tumbled
G02,IL-17_internal(256/7),heat::mech,28.53870832,688.8759993,tumbled
G03,IL-17_internal(256/7),heat::mech,28.63852987,642.7984238,tumbled
G04,IL-17_internal(256/7),mechanical,28.41719638,749.4461801,tumbled
G05,IL-17_internal(256/7),mechanical,28.9139235,531.0387855,tumbled
G06,IL-17_internal(256/7),control,29.03316628,488.8890571,naïve
G07,IL-17_internal(256/7),control,28.6457424,639.5910665,naïve
G08,IL-17_internal(256/7),heat,29.37490639,385.725362,naïve
G09,IL-17_internal(256/7),heat,29.23671369,424.5235982,naïve
G10,IL-17_internal(256/7),heat::mech,29.98445576,252.7446231,naïve
G11,IL-17_internal(256/7),heat::mech,30.07833917,236.8122925,naïve
G12,IL-17_internal(256/7),mechanical,29.43991181,368.7215857,naïve
H01,IL-17_internal(256/7),mechanical,33.11474892,28.82953418,naïve
H02,IL-17_internal(256/7),control,30.06613697,238.824867,tumbled
H03,IL-17_internal(256/7),control,29.82483765,282.3312168,tumbled
H04,IL-17_internal(256/7),heat,29.74498174,298.4087132,tumbled
A01,Cg_HSP70(598/9),heat,31.17211055,110.9073433,tumbled
A02,Cg_HSP70(598/9),heat::mech,28.91862536,529.30993,tumbled
A03,Cg_HSP70(598/9),heat::mech,29.76429619,294.4380871,tumbled
A04,Cg_HSP70(598/9),mechanical,29.62659647,323.9434053,tumbled
A05,Cg_HSP70(598/9),mechanical,27.90717863,1067.475206,tumbled
A06,Cg_HSP70(598/9),control,29.5377203,344.5392037,naïve
A07,Cg_HSP70(598/9),control,31.83402252,70.07972952,naïve
A08,Cg_HSP70(598/9),heat,31.26353345,104.0935272,naïve
A09,Cg_HSP70(598/9),heat,30.45214926,182.7311733,naïve
A10,Cg_HSP70(598/9),heat::mech,29.74528379,298.3462081,naïve
A11,Cg_HSP70(598/9),heat::mech,32.16981553,55.52026909,naïve
A12,Cg_HSP70(598/9),mechanical,29.89659721,268.6240672,naïve
B01,Cg_HSP70(598/9),mechanical,31.08466786,117.8414399,naïve
B02,Cg_HSP70(598/9),control,30.36092225,194.6660507,tumbled
B03,Cg_HSP70(598/9),control,31.4482671,91.57605897,tumbled
B04,Cg_HSP70(598/9),heat,30.64174275,160.2164423,tumbled
C01,Cg_HSP90(1532/3),heat,26.62238668,2602.178786,tumbled
