Well,Fluor,Target,Content,Subgroup,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note,Well-1,Fluor-1,Target-1,Content-1,Subgroup-1,Sample-1,Biological Set Name-1,Cq-1,Cq Mean-1,Cq Std. Dev-1,Starting Quantity (SQ)-1,Log Starting Quantity-1,SQ Mean-1,SQ Std. Dev-1,Set Point-1,Well-2,Fluor-2,Target-2,Content-2,Subgroup-2,Sample-2,Biological Set Name-2,Cq-2,Cq Mean-2,Cq Std. Dev-2,Starting Quantity (SQ)-2,Log Starting Quantity-2,SQ Mean-2,SQ Std. Dev-2,Set Point-2
A01,FAM,Cg_HSP70(598/9),Unkn,C,NTC1_ctenidia,,31.17211055,31.17211055,0,NaN,NaN,NaN,0,60,,C01,FAM,Cg_HSP90(1532/3),Unkn,C,NTC1_ctenidia,,26.62238668,26.62238668,0,NaN,NaN,NaN,0,60,E01,FAM,Cg_VIPERIN(1828/9),Unkn,C,NTC1_ctenidia,,31.38620743,31.38620743,0,NaN,NaN,NaN,0,60
A02,FAM,Cg_HSP70(598/9),Unkn,C,NTC2_ctenidia,,28.91862536,28.91862536,0,NaN,NaN,NaN,0,60,,C02,FAM,Cg_HSP90(1532/3),Unkn,C,NTC2_ctenidia,,26.50527552,26.50527552,0,NaN,NaN,NaN,0,60,E02,FAM,Cg_VIPERIN(1828/9),Unkn,C,NTC2_ctenidia,,33.24982264,33.24982264,0,NaN,NaN,NaN,0,60
A03,FAM,Cg_HSP70(598/9),Unkn,H,NTH1_ctenidia,,29.76429619,29.76429619,0,NaN,NaN,NaN,0,60,,C03,FAM,Cg_HSP90(1532/3),Unkn,H,NTH1_ctenidia,,25.68764069,25.68764069,0,NaN,NaN,NaN,0,60,E03,FAM,Cg_VIPERIN(1828/9),Unkn,H,NTH1_ctenidia,,32.02704598,32.02704598,0,NaN,NaN,NaN,0,60
A04,FAM,Cg_HSP70(598/9),Unkn,H,NTH2_ctenidia,,29.62659647,29.62659647,0,NaN,NaN,NaN,0,60,,C04,FAM,Cg_HSP90(1532/3),Unkn,H,NTH2_ctenidia,,26.84398982,26.84398982,0,NaN,NaN,NaN,0,60,E04,FAM,Cg_VIPERIN(1828/9),Unkn,H,NTH2_ctenidia,,31.81852513,31.81852513,0,NaN,NaN,NaN,0,60
A05,FAM,Cg_HSP70(598/9),Unkn,HM,NTHM1_ctenidia,,27.90717863,27.90717863,0,NaN,NaN,NaN,0,60,,C05,FAM,Cg_HSP90(1532/3),Unkn,HM,NTHM1_ctenidia,,26.12292212,26.12292212,0,NaN,NaN,NaN,0,60,E05,FAM,Cg_VIPERIN(1828/9),Unkn,HM,NTHM1_ctenidia,,32.7667315,32.7667315,0,NaN,NaN,NaN,0,60
A06,FAM,Cg_HSP70(598/9),Unkn,HM,NTHM2_ctenidia,,29.5377203,29.5377203,0,NaN,NaN,NaN,0,60,,C06,FAM,Cg_HSP90(1532/3),Unkn,HM,NTHM2_ctenidia,,26.45768875,26.45768875,0,NaN,NaN,NaN,0,60,E06,FAM,Cg_VIPERIN(1828/9),Unkn,HM,NTHM2_ctenidia,,32.02513601,32.02513601,0,NaN,NaN,NaN,0,60
A07,FAM,Cg_HSP70(598/9),Unkn,M,NTM1_ctenidia,,31.83402252,31.83402252,0,NaN,NaN,NaN,0,60,,C07,FAM,Cg_HSP90(1532/3),Unkn,M,NTM1_ctenidia,,26.90644114,26.90644114,0,NaN,NaN,NaN,0,60,E07,FAM,Cg_VIPERIN(1828/9),Unkn,M,NTM1_ctenidia,,30.3307762,30.3307762,0,NaN,NaN,NaN,0,60
A08,FAM,Cg_HSP70(598/9),Unkn,M,NTM2_ctendia,,31.26353345,31.26353345,0,NaN,NaN,NaN,0,60,,C08,FAM,Cg_HSP90(1532/3),Unkn,M,NTM2_ctendia,,26.3837508,26.3837508,0,NaN,NaN,NaN,0,60,E08,FAM,Cg_VIPERIN(1828/9),Unkn,M,NTM2_ctendia,,32.28304381,32.28304381,0,NaN,NaN,NaN,0,60
A09,FAM,Cg_HSP70(598/9),Unkn,C,TC1_ctenidia,,30.45214926,30.45214926,0,NaN,NaN,NaN,0,60,,C09,FAM,Cg_HSP90(1532/3),Unkn,C,TC1_ctenidia,,27.55742956,27.55742956,0,NaN,NaN,NaN,0,60,E09,FAM,Cg_VIPERIN(1828/9),Unkn,C,TC1_ctenidia,,34.76868977,34.76868977,0,NaN,NaN,NaN,0,60
A10,FAM,Cg_HSP70(598/9),Unkn,C,TC2_ctendia,,29.74528379,29.74528379,0,NaN,NaN,NaN,0,60,,C10,FAM,Cg_HSP90(1532/3),Unkn,C,TC2_ctendia,,25.24229656,25.24229656,0,NaN,NaN,NaN,0,60,E10,FAM,Cg_VIPERIN(1828/9),Unkn,C,TC2_ctendia,,32.72683967,32.72683967,0,NaN,NaN,NaN,0,60
