Target,Subgroup,History,Cq,normCq,tar-ref,fold
Cg_ATPsynthase(1385/6),C,NT,26.69334202,21.2645197,5.42882232,0.023214623
Cg_ATPsynthase(1385/6),C,NT,27.67047987,21.1272413,6.54323857,0.010722324
Cg_ATPsynthase(1385/6),H,NT,26.77350665,21.3772082,5.39629845,0.023743913
Cg_ATPsynthase(1385/6),H,NT,27.39914814,22.0279088,5.37123934,0.02415994
Cg_ATPsynthase(1385/6),HM,NT,27.20647488,21.0417136,6.16476128,0.013938689
Cg_ATPsynthase(1385/6),HM,NT,27.22151467,21.0674439,6.15407077,0.01404236
Cg_ATPsynthase(1385/6),M,NT,26.28449109,20.7686739,5.51581719,0.021856146
Cg_ATPsynthase(1385/6),M,NT,27.04334896,21.3493798,5.69396916,0.019317214
Cg_ATPsynthase(1385/6),C,T,28.87035435,22.9503022,5.92005215,0.01651531
Cg_ATPsynthase(1385/6),C,T,28.22305009,21.5551198,6.66793029,0.009834516
Cg_ATPsynthase(1385/6),H,T,28.71905584,21.3095217,7.40953414,0.005881769
Cg_ATPsynthase(1385/6),H,T,27.78182039,22.0612124,5.72060799,0.018963802
Cg_ATPsynthase(1385/6),HM,T,28.60907904,20.305701,8.30337804,0.00316544
Cg_ATPsynthase(1385/6),HM,T,27.70783545,22.1788341,5.52900135,0.021657322
Cg_ATPsynthase(1385/6),M,T,27.14407522,20.6295556,6.51451962,0.010937906
Cg_ATPsynthase(1385/6),M,T,25.65429601,20.3750184,5.27927761,0.02575011
Cg_citratesynthase(1383/4),C,NT,26.14320567,21.2645197,4.87868597,0.03399141
Cg_citratesynthase(1383/4),C,NT,26.86000804,21.1272413,5.73276674,0.01880465
Cg_citratesynthase(1383/4),H,NT,26.11234388,21.3772082,4.73513568,0.037547595
Cg_citratesynthase(1383/4),H,NT,26.29140645,22.0279088,4.26349765,0.052066612
Cg_citratesynthase(1383/4),HM,NT,25.57058363,21.0417136,4.52887003,0.043318586
Cg_citratesynthase(1383/4),HM,NT,26.33735276,21.0674439,5.26990886,0.025917873
Cg_citratesynthase(1383/4),M,NT,25.00223576,20.7686739,4.23356186,0.053158276
Cg_citratesynthase(1383/4),M,NT,26.01670566,21.3493798,4.66732586,0.039354547
Cg_citratesynthase(1383/4),C,T,27.25196143,22.9503022,4.30165923,0.050707423
Cg_citratesynthase(1383/4),C,T,26.58929204,21.5551198,5.03417224,0.030518498
Cg_citratesynthase(1383/4),H,T,27.69267704,21.3095217,6.38315534,0.011980606
Cg_citratesynthase(1383/4),H,T,27.22723434,22.0612124,5.16602194,0.027853029
Cg_citratesynthase(1383/4),HM,T,27.30509117,20.305701,6.99939017,0.007815803
